,State,Total_Offenses_Society,Animal_Cruelty,Drug_Narcotic_Offenses,Gambling_Offenses,Pornography_Obscene_Material,Prostitution_Offenses,Weapon_Law_Violations,Population_Covered,Total_Offenses_Property,Arson,Bribery,Burglary_Breaking_Entering,Counterfeiting_Forgery,Destruction_Damage_Vandalism,Embezzlement,Extortion_Blackmail,Fraud_Offenses,Larceny_Theft_Offenses,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Total_Offenses_Person,Assault_Offenses,Homicide_Offenses,Human_Trafficking_Offenses,Kidnapping_Abduction,Sex_Offenses,Total_Offenses,Crime_Rate_Total,Crime_Rate_Property,Crime_Rate_Society,Crime_Rate_Person,Year
46,Wisconsin,49165,241,37553,3,1418,216,9734,4821673.0,117910,545,9,10462,1890,23765,533,242,12793,54942,8543,2922,1264,44398,39165,409,85,938,3801,211473,43.85884318575731,24.454167671677446,10.196668251870253,9.20800726220961,2020
47,Wyoming,855,29,803,0,7,2,14,200308.0,1687,8,0,161,51,404,5,5,153,812,74,6,8,1213,1085,2,1,18,107,3755,18.74613095832418,8.422030073686523,4.268426623000579,6.055674261637079,2020
0,Total,1620563,16497,1290858,1815,31873,11565,267955,215058917.0,6531976,26491,739,584913,107047,1283633,22610,12270,761698,2967229,554618,121103,89625,2939412,2706772,16537,2141,36919,177043,11091951,51.57633617210115,30.37296054085495,7.535437370402084,13.66793826084412,2021
1,Alabama,30075,351,25687,13,286,39,3699,3734077.0,122274,456,11,12491,2483,27112,124,122,10712,55804,9902,1481,1576,70855,68366,381,18,388,1702,223204,59.77487877191606,32.745441510713356,8.054199203712189,18.97523805749051,2021
2,Alaska,1730,20,1229,0,36,18,427,402557.0,7301,59,2,786,122,2199,22,34,602,2761,611,72,31,6858,5945,31,2,29,851,15889,39.470186830684845,18.136562027240863,4.297528051928049,17.036096751515934,2021
3,Arizona,34213,396,29650,0,749,164,3254,3949562.0,104648,413,11,8763,1231,22229,261,256,14733,48802,5818,1129,1002,45372,40946,235,7,706,3478,184233,46.64643826328084,26.496102605807934,8.66247953570548,11.487856121767427,2021
4,Arkansas,38618,30,34344,21,490,101,3632,2916168.0,123785,557,2,14101,3056,27186,88,59,12169,54687,8110,1272,2498,66379,62317,339,6,658,3059,228782,78.452956071118,42.44782879450018,13.24272126983082,22.76240600678699,2021
5,California,25946,40,21994,4,54,380,3474,2861998.0,81313,407,2,7103,960,14837,225,148,7873,34122,11272,2300,2064,32707,29983,126,0,576,2022,139966,48.90499574073776,28.4112707276525,9.065694665055672,11.428030348029594,2021
6,Colorado,34379,860,24110,6,927,296,8180,5766585.0,295735,1341,113,22988,3037,55838,329,887,41910,120385,40851,4310,3746,70645,60730,434,63,2528,6890,400759,69.49676454955576,51.284252291434186,5.961760730137508,12.250751527984066,2021
7,Connecticut,10693,149,7220,4,239,37,3044,3605597.0,84370,163,5,5100,1120,16425,191,183,8528,41977,7407,1930,1341,31205,28878,164,13,282,1868,126268,35.01999807521473,23.39973102928586,2.9656669894056376,8.654600056523233,2021
8,Delaware,12571,1280,8902,38,97,27,2227,1003384.0,40185,155,5,2371,389,9217,116,64,9756,15395,1609,570,538,16740,15724,108,5,198,705,69496,69.26161868237882,40.04947258477313,12.528603206748365,16.68354289085734,2021
